region.Region,region.Country,region.relevance,region.BidFactor,region.eCPM,region.eFlightSpend,region.cumulativeSpend,region.eCPA,region.cumulativeEcpa,region.eCTR,region.eCPC,region.eViewability
Tyrol,Austria,0.54,0.38,1.42,96,475045.16,16572.55,6852.96,8.80E-04,1.65,0.507
Hainaut Province,Belgium,0.53,0.37,2.26,103,483978.05,26803.36,6956.68,8.40E-04,2.63,0.505
Idaho,United States,0.53,0.37,3.28,8478,483978.05,38960.4,6956.68,7.30E-04,4.44,0.6027
Rio Grande do Sul,Brazil,0.53,0.37,1.05,291,483978.05,12500.26,6956.68,4.70E-04,2.31,0.4291
Shiga,Japan,0.53,0.37,0.88,60,483978.05,10440.69,6956.68,7.60E-04,1.09,0.4651
Alaska,United States,0.52,0.35,3.27,3306,487445.55,39531.12,6997.72,8.20E-04,3.93,0.6018
Wirral,United Kingdom,0.52,0.35,3.46,161,487445.55,41822.39,6997.72,8.50E-04,4.13,0.5747
Haringey,United Kingdom,0.5,0.31,3.46,680,488125.78,43495.22,7005.91,8.80E-04,3.96,0.5159
Liverpool,United Kingdom,0.49,0.29,3.46,1129,489669.07,44407.08,7024.52,7.90E-04,4.41,0.5689
North Yorkshire,United Kingdom,0.49,0.29,3.35,414,489669.07,42964.89,7024.52,7.60E-04,4.49,0.5903
Peterborough,United Kingdom,0.48,0.27,3.46,354,490806.18,45298.8,7038.29,6.60E-04,5.26,0.5778
West Sussex,United Kingdom,0.48,0.27,3.43,783,490806.18,44918.83,7038.29,6.60E-04,5.29,0.5907
Gloucestershire,United Kingdom,0.47,0.24,3.6,740,500162.2,48155.21,7151.3,7.00E-04,5.23,0.5822
Gunma,Japan,0.47,0.24,0.85,66,500162.2,11325.54,7151.3,8.70E-04,0.9,0.4662
Hawaii,United States,0.47,0.24,3.45,7661,500162.2,46193.77,7151.3,8.20E-04,4.12,0.5813
Oxfordshire,United Kingdom,0.47,0.24,3.44,889,500162.2,46102.89,7151.3,5.80E-04,5.99,0.5869
Seville,Spain,0.46,0.22,1.72,182,500343.82,23557.63,7153.11,7.70E-04,2.23,0.5197
Devon,United Kingdom,0.43,0.16,3.61,621,500964.65,52866.11,7160.78,6.80E-04,5.38,0.5944
Hampshire,United Kingdom,0.41,0.11,3.43,1021,501985.42,52593.04,7173.38,6.20E-04,5.59,0.5925
Arizona,United States,0.39,0.06,3.33,38495,540480.48,53753.96,7645.24,0.00112,2.91,0.5682
Seine-et-Marne,France,0.37,0.01,0.91,120,540600.63,15468.94,7646.1,0.00579,0.16,0.4508
Cornwall,United Kingdom,0.36,0,3.63,494,541233.25,63418.99,7653.37,7.00E-04,5.24,0.5983
Federal District,Brazil,0.36,0,1.03,139,541233.25,18049.19,7653.37,4.30E-04,2.49,0.4018
Val d'Oise,France,0.34,0,0.94,101,541334.19,17474.83,7654.17,0.00106,0.9,0.4515
Lancashire,United Kingdom,0.33,0,3.21,962,542296.53,61102,7666.07,7.10E-04,4.62,0.5683
Cardiff,United Kingdom,0.32,0,3.47,392,542688.43,68224.32,7670.99,7.70E-04,4.53,0.5628
City and County of Swansea,United Kingdom,0.31,0,3.48,272,546237.53,70620.5,7713.82,8.40E-04,4.16,0.5925
Wyoming,United States,0.31,0,2.55,3277,546237.53,51689.43,7713.82,0.00257,0.98,0.5526
Tochigi,Japan,0.29,0,0.85,73,546310.15,18440.03,7714.42,8.50E-04,0.91,0.4691
South Australia,Australia,0.28,0,3.02,1453,547762.97,67822.23,7732.59,0.001,2.96,0.5909
Yvelines,France,0.26,0,1,140,547902.62,24283.84,7733.94,4.50E-04,2.27,0.4748
Upper Garonne,France,0.25,0,1.21,178,548080.91,30416.37,7735.81,3.20E-04,3.88,0.4305
Norfolk,United Kingdom,0.22,0,3.65,1008,549088.65,104222.27,7748.98,7.10E-04,5.21,0.5881
Warwickshire,United Kingdom,0.2,0,3.3,400,549488.16,103727.46,7754.2,0.00168,1.98,0.5884
Tasmania,Australia,0.18,0,2.49,336,549824.64,87136.57,7758.52,5.40E-04,4.61,0.5047
Nebraska,United States,0.17,0,2.94,11475,561299.18,108668.73,7908.65,7.70E-04,3.76,0.548
Cumbria,United Kingdom,0.16,0,3.22,506,562333.04,126633.58,7922.36,7.30E-04,4.49,0.5702
Staffordshire,United Kingdom,0.16,0,3.57,528,562333.04,140210.22,7922.36,7.50E-04,4.84,0.5669
Bouches-du-Rhône,France,0.14,0,1.17,207,569631.26,52561.68,8019.5,3.40E-04,3.51,0.4565
New Hampshire,United States,0.14,0,3.41,7091,569631.26,153265.1,8019.5,7.60E-04,4.44,0.5713
Province of Nueva Ecija,Philippines,0.13,0,0.9,428,585538.85,43516.31,8230.94,8.10E-04,1.11,0.4739
Utah,United States,0.13,0,3.26,15479,585538.85,157752.81,8230.94,7.80E-04,4.12,0.5574
Manchester,United Kingdom,0.12,0,3.17,1585,587123.61,166423.61,8252.12,6.80E-04,4.69,0.5598
