data.fullpath,data.thirdpartydataproviderid,data.Relevance,data.BidFactor,data.eCPM,data.eSpend,data.audiencesize
united kingdom > united kingdom travel,lotame,2.54,1.93,2.47,131,0
comScore - Private > comScore - Private > Credit Card Interest Score > comScore - Private > 1-2%,bluekai,2.54,1.93,9.22,105,9577000
Nielsen > Auto > Small Luxury/Premium Car > Nielsen Auto - Small SUV - Fiat 500X (JD Power),exelate,2.54,1.93,4.78,90,0
B2B > Industries & Occupations > Business & Finance,bluekai,2.53,1.93,12.38,13396,226219600
Interest > Travel,bluekai,2.53,1.93,3.68,9020,673805800
Brand > FastFood > Burger King,visualdna,2.53,1.93,4.17,301,0
Smart Segments > Kids & Coupons,exelate,2.53,1.93,3.38,167,0
Retail > Retail - Logistics > Retail - Logistics - UPS > Retail - Logistics - UPS - All Credit/Debit Buyers,exelate,2.53,1.93,1.78,27,0
Audience - Purchase Intent > Autos & Vehicles > High Confidence,DataAlliance,2.52,1.92,6.84,1068,0
purchase intent > cell phones > strong affinity,DataAlliance,2.51,1.92,4.89,971,0
interests > cooking & recipes > affinity,DataAlliance,2.51,1.92,5.24,562,0
Branded Data > Clearspring > Auto Intenders > General > Auto Intenders,bluekai,2.51,1.92,4.31,66,1213000
US > Premium > Financial >  Personal Finance >  Investment General,addthis,2.5,1.92,1.91,567,0
purchase intent > health > cosmetic surgery > affinity,DataAlliance,2.5,1.92,1.87,14,0
Demographic > Education - Bachelors Degree,alliant,2.49,1.91,3.43,438,0
"Branded Data > Lotame > Style, Fashion & Clothing > Style & Fashion",bluekai,2.49,1.91,4.63,232,87179000
International Audiences > LEN FRA > France Summer Travel,lotame,2.49,1.91,1.43,99,0
Nielsen TV > Genre > Drama Shows - Medium Viewers,exelate,2.48,1.91,11.6,494,0
Demographics > Occupation > Professional- Architecture & Engineering/Life,targus,2.48,1.91,3.36,209,0
AudiencePredictor > Dexcom | yr6f013 > High Value User Lookalike > 10001,ttdeskpat,2.48,1.91,0.98,53,0
Intent > Services > Services - Health Medicine,exelate,2.48,1.91,1.9,52,1
US > Premium > Education >  Majors >  Business,addthis,2.47,1.9,3.39,436,0
purchase intent > cell phones > android > strong affinity,DataAlliance,2.47,1.9,4.8,391,0
In-Market > Retail > Shopping Predictors > Transaction Predictors > Consumer Packaged Goods (CPG) > Health & Beauty > Beauty > Cosmetics,bluekai,2.47,1.9,2.29,107,191870600
AudiencePredictor > Wynn Las Vegas | swijiix > High Value User Lookalike > 10002,ttdeskpat,2.46,1.9,1.69,277,0
US > Premium > Entertainment > Home > Home Entertainment Enthusiasts,addthis,2.46,1.9,2.09,81,0
Demographic > Optimized > Male 35-39 > Confident,DataAlliance,2.45,1.9,4.48,282,0
US > Premium > Education > Majors,addthis,2.45,1.9,3.36,238,0
Retail & Consumer Goods > Clothes > Fashion Style > High Fashion,visualdna,2.45,1.9,4.11,210,0
International Audiences > LEN FRA > France Parents of Infants,lotame,2.45,1.9,1.44,68,0
Interest > Auto - Owners > Auto - Owners - Crossover Vehicle,exelate,2.44,1.89,6.59,234,1
US > Premium > Food >  Foods >  Bread,addthis,2.44,1.89,1.86,51,0
US > Premium > Sports > Social > Sports Video Engagers,addthis,2.44,1.89,1.08,30,0
B2B Predictive Signals > Technology,bluekai,2.43,1.89,9.27,808,58614600
Demographic > Employment Industry > HR and Recruitment,eyeota,2.43,1.89,4.1,292,0
International Audiences > LEN UK > United Kingdown Automobile Brands > BMW,lotame,2.43,1.89,2.34,157,0
demographic > age > 65 plus > high,DataAlliance,2.42,1.88,3.53,633,0
Interest  > Sports > Motorsport,eyeota,2.42,1.88,4.67,204,0
Nielsen > Auto > Midsize > SUV > Subaru - Outback,exelate,2.41,1.88,3.91,374,0
US > Premium > Sports > Team Sports > Baseball,addthis,2.41,1.88,1.93,216,0
Audience - Purchase Intent > Real Estate > Extreme Confidence,DataAlliance,2.38,1.87,2.54,236,0
interests > sports > basketball > affinity,DataAlliance,2.38,1.87,3.74,45,0
B2B > Roles > Managers > Executives > Presidents,bluekai,2.37,1.86,13.88,1800,3469800
US > Premium > Telecommunications > Mobile and Wireless > Iphone,addthis,2.37,1.86,4.91,1134,0
Business > Business,lotame,2.37,1.86,3.07,622,0
Demographic > Age > 50-54,bluekai,2.36,1.86,3.61,837,943400
Oracle > Travel > Interest,bluekai,2.36,1.86,4.24,293,1293101760
Nielsen > Scarborough > Grocery - Buys groceries from > Target/SuperTarget,exelate,2.36,1.86,3.74,290,0
Branded Data > Clearspring > In-Market > Education > Degrees,bluekai,2.36,1.86,8.46,207,6152640
US > Premium > Health > Health and Medical >  Health Conditions >  Cold & Flu,addthis,2.35,1.85,4.36,427,0
Premium Demographic > Ethnicity > White or Caucasian > 51% - 75%,DataAlliance,2.35,1.85,1.52,37,0
International Audiences > LEN UK > United Kingdom Household without Children,lotame,2.34,1.85,2.23,717,0
US > Premium > Financial >  Financial Enthusiasts >  Financial Planning,addthis,2.34,1.85,4.3,477,0
Branded Data > TruSignal > B2B > Business Contacts > Professional Groups > Financial Professionals,bluekai,2.34,1.85,5.3,218,14240640
US > Reach > Sports > Outdoors,addthis,2.33,1.85,3.7,91,0
Audience - Interests > Parenting & Family > Confident,DataAlliance,2.33,1.85,1.61,86,0
US > Premium > Retail > Shopping > Luxury Department Stores,addthis,2.33,1.85,2.19,63,0
Interest > Sports > Sports - College Football,exelate,2.33,1.85,2.78,34,1
Interest > Auto - Owners > Auto - Owners - Mitsubishi,exelate,2.31,1.84,10.39,130,1
US > Premium > Social >  Social Influencers >  Autos,addthis,2.31,1.84,4.28,125,0
Products & Services Propensities > Mobile Phone Only - No Landline - Propensity,alliant,2.3,1.83,5.01,272,0
Branded Data > Neustar AdAdvisor > Life Events > Graduation From School,bluekai,2.3,1.83,4.04,101,27667600
Demographic > Validated Demographic > Age Narrow > 55-64,bluekai,2.29,1.83,5.91,496,0
Entertainment & Lifestyle > Sport > Running,visualdna,2.28,1.82,2.2,186,0
US > law & government > legal > legal services,sharethis,2.28,1.82,2.62,33,0
Branded Data > US Experian > Propensity Models > Hobbies and Interest > Food and Drinks > Coffee Connoisseurs,eyeota,2.28,1.82,2.14,27,0
Interest  > Sports > AFL Football,eyeota,2.27,1.82,4.17,389,0
interests > computers > affinity,DataAlliance,2.27,1.82,2.49,221,0
Audience - Interests > News & Politics > Politics > High Confidence,DataAlliance,2.27,1.82,3.67,202,0
Branded Data > Alliant > Buyers With Social Interest > Activities & Interests > Auto - Motorcycles,bluekai,2.27,1.82,4.91,63,6506240
International Segments > Asia Pacific > Australia > Books & Magazines,lotame,2.27,1.82,3.24,41,0
Interest > Shopping > Online Shoppers,bluekai,2.26,1.82,3.36,485,241941400
US > Premium > Political >  Issues >  Economy,addthis,2.26,1.82,2.16,415,0
Demographics > Age > 18 to 24,visualdna,2.26,1.82,2.81,407,0
US > Premium > Education >  Degrees >  MBA,addthis,2.26,1.82,3.29,265,0
Finance > Interest > Insurance > Health Insurance,visualdna,2.26,1.82,3.89,215,0
Demographic > Household Presence of Children Age 0-3,alliant,2.25,1.81,4.14,301,0
Interest > Hobbies > Painting & Drawing,bluekai,2.25,1.81,2.16,64,0
US > Premium > Technology > Computers > Tablets and Netbooks,addthis,2.25,1.81,1.97,34,0
Branded Data > Experian > Lifestyle and Interests > Technology,bluekai,2.24,1.81,6.18,212,169124800
US > Premium > Travel >  Destinations >  Las Vegas >  Hotels,addthis,2.24,1.81,1.9,204,0
UK > Reach > Seasonal and Holiday,addthis,2.24,1.81,5.89,152,0
Custom Segments > AddThis_Wynn (Las Vegas Casinos)_Custom_AKQA_TTD_2016,addthis,2.24,1.81,2.27,78,0
Branded Data > Acxiom > Enhanced Rate > ACXM Lifestyle > Personicx > Classic Clusters > 04 - Top Professionals,bluekai,2.24,1.81,5.01,65,2195200
US > law & government > legal,sharethis,2.24,1.81,4.38,38,0
Demographic > Lifestyle  > Home Buyers,eyeota,2.23,1.8,3.29,142,0
Business to Business (B2B) > Specialty > Fortune 1000 companies,lotame,2.23,1.8,6.47,111,0
International Audiences > LEN FRA > France Home Improvement,lotame,2.23,1.8,1.43,111,0
US > Premium > Financial >  Banking >  Banking Brands,addthis,2.23,1.8,0.83,90,0
US > Premium > Women >  Parenting >  Teens,addthis,2.22,1.8,3.64,505,0
US > Premium > Food >  Restaurants >  Restaurant Brands,addthis,2.22,1.8,3.28,114,0
US > Premium > Financial >  Banking >  Business Banking,addthis,2.22,1.8,2.01,96,0
interests > cell phones > affinity,DataAlliance,2.21,1.79,5.55,72,0
US > Premium > Retail >  Apparel >  Mens dress shoes,addthis,2.21,1.79,1.02,35,0
Health & Wellbeing > Health & Wellness and Fitness,alliant,2.2,1.79,3.94,1085,0
Asia-Pacific > movies,lotame,2.2,1.79,5.1,467,0
Oracle Country-Specific Audiences > United Kingdom > Demographic > Age > 40-49 > 45-49,bluekai,2.2,1.79,5.41,118,0
Branded Data > Lotame > Advanced Demographics > Home Ownership > Ownership Status > Owns Primary Residence,bluekai,2.19,1.78,4.07,357,98886400
Entertainment & Pastimes > Action/Adventure Enthusiasts,alliant,2.19,1.78,5.05,221,0
Lifestyle Statements > Health and Diet > Active Health Management: Above Average,targus,2.19,1.78,1.76,170,0
Branded Data > Lotame > Advanced Demographics > Declared Parents > Parents of Toddlers,bluekai,2.19,1.78,3.03,133,13518800
Audience - Purchase Intent > Online Shopping > High Confidence,DataAlliance,2.19,1.78,3.07,81,0
US > Premium > Health > Social > Health Shoppers,addthis,2.18,1.78,3.9,137,0
purchase intent > travel > flights > strong affinity,DataAlliance,2.18,1.78,1.75,77,0
US > Premium > Food >  Cooking >  Utensils,addthis,2.18,1.78,3,40,0
Interest > Sports > Golf,bluekai,2.17,1.77,2.56,636,106332200
Brand > Supermarket > Sainsburys,visualdna,2.17,1.77,1.12,84,0
Branded Data > Experian > Models > Moms > Stay at Home Mothers,bluekai,2.17,1.77,4.64,62,53181400
Global > B2B Demo > Professional Groups > Business Professional,eyeota,2.16,1.77,2.83,1142,0
Custom Segment > Yelp > Custom > European Wax > Hair Removal (Mobile),datastore,2.16,1.77,9.17,163,0
france > france news,lotame,2.16,1.77,1.45,90,0
UK > Reach > Sports,addthis,2.16,1.77,1.22,33,0
International Audiences > LEN UK > United Kingdom College/University Students,lotame,2.15,1.77,2.29,143,0
Smart Segments > Moms,exelate,2.14,1.76,3.61,308,0
Product Potential > Household Products > Batteries-Brand Bought Most Often-Eveready,targus,2.14,1.76,3.84,190,0
interests > computers > extreme,DataAlliance,2.14,1.76,2.48,190,0
purchase intent > outdoor activities > extreme,DataAlliance,2.14,1.76,2.1,85,0
Demographic > Lifestyle > Lifestyle - Home Owners,exelate,2.13,1.76,3.76,1544,1
intl. > LAPN APAC- Dem+Act+Cat,lotame,2.13,1.76,2.19,1334,0
Nielsen > ConneXions > Psychographic > First to Try New Tech,exelate,2.13,1.76,5.22,495,0
Entertainment & Lifestyle > Online > News,visualdna,2.13,1.76,5.21,282,0
Audience - Interests > Sports > Extreme Confidence,DataAlliance,2.13,1.76,0.71,150,0
Nielsen > Scarborough > Restaurant - Quick Service > Dine at Jack in the box,exelate,2.13,1.76,4.37,98,0
Global > Install Data > IT Governance > Application Development and Management,eyeota,2.13,1.76,0.91,58,0
B2B > Company Size > 100-500 Employees,bluekai,2.12,1.75,6.59,507,23472000
Branded Data > Lotame > Entertainment > Pop Culture & Celebrity Gossip,bluekai,2.12,1.75,4.76,87,120709000
US > Premium > Travel > Travel Enthusiast,addthis,2.11,1.75,5.46,523,0
International Audiences > LEN UK > United Kingdom Music Festivals,lotame,2.11,1.75,3.42,156,0
Interest > Travel > Personal Travel - International,bluekai,2.1,1.74,4.23,892,190873400
"Branded Data > Lotame > Style, Fashion & Clothing > Trendsetters",bluekai,2.1,1.74,4.72,302,0
Custom Segments > AddThis_PUR (bottled water brands)_custom_Mediavest_TTD_2016,addthis,2.1,1.74,10.91,200,0
Demographics > Age : 35 to 39,lotame,2.1,1.74,4.56,188,0
California University IPs,DataAlliance,2.1,1.74,1.7,39,1
Branded Data > Lotame > Entertainment > Sports & Recreation > Skiing,bluekai,2.09,1.74,15.45,1566,27076800
Nielsen > Scarborough > Retail Shopping - Shops at > Target,exelate,2.09,1.74,3.86,373,0
US > Premium > Health > Health and Medical,addthis,2.09,1.74,2.46,249,0
Nielsen Buyer Insights > Fast Food > All Buyers,exelate,2.09,1.74,4.89,224,0
B2BX > Company Size > Large,exelate,2.09,1.74,8.91,164,0
Branded Data > Alliant > Composite Segments > Moms Who Shop Like Crazy,bluekai,2.09,1.74,4.43,41,26463600
Audience - Interests > Health > Nutrition > Extreme Confidence,DataAlliance,2.08,1.73,4.58,318,0
purchase intent > computers > computer parts & repair > affinity,DataAlliance,2.08,1.73,1.62,90,0
US > Premium > Financial > Credit - Lending,addthis,2.08,1.73,5.17,72,0
US > Premium > Sports > Individual Sports > Equestrian,addthis,2.08,1.73,4.18,58,0
interests > education > graduate school > affinity,DataAlliance,2.08,1.73,2.95,54,0
Geographic - Metro Targeting > Metro Area - Los Angeles,alliant,2.08,1.73,1.33,49,0
Branded Data > V12 > Travel,bluekai,2.08,1.73,3.29,46,136187400
Audience - Interests > Real Estate > High Confidence,DataAlliance,2.07,1.73,2.87,120,0
US > Premium > Career and Work > Work,addthis,2.07,1.73,2.19,82,0
Audience - Interests > Sports > Colleges & Universities > Confident,DataAlliance,2.07,1.73,2.65,37,0
Restaurants > Restaurants - Fast Food > Restaurants - Fast Food - KFC > Restaurants - Fast Food - KFC - All Credit/Debit Buyers,exelate,2.06,1.72,4.91,252,0
Hobbies & Interests > Live Theatre/Concert/Dance > Attend Live Theater Last 12M,targus,2.06,1.72,2.27,74,0
offline product purchasers > Condiments / spices / bake,lotame,2.05,1.72,3.64,494,0
advanced demographics > HHI > 60k-75k,lotame,2.05,1.72,3.3,139,0
Retail > Retail - Apparel > Retail - Apparel - Shoe Stores > Retail - Apparel - Shoe Stores - Payless > Retail - Apparel - Shoe Stores - Payless - All Credit/Debit Buyers,exelate,2.05,1.72,3.87,109,0
NCS > Food and Beverage > Coffee Category,neustar_pro,2.05,1.72,4.73,66,0
Interest > Business & Finance > Finance & Investing > Personal Savings & Investments,bluekai,2.04,1.71,4.33,1058,222673600
 TV Audiences > Demographic Groups > ABC1 Women,visualdna,2.04,1.71,3.97,412,0
Interest > Business & Finance > Insurance > Health Insurance,bluekai,2.04,1.71,3.98,393,82504200
In-Market > Education > Types > Graduate,bluekai,2.04,1.71,2.5,271,118400
Demographic > Financial Attributes > Wealth Decile > 2nd,bluekai,2.04,1.71,3.57,135,5552800
International Segments > Canada > Motorcycles,lotame,2.04,1.71,5.38,102,0
interests > career development > extreme,DataAlliance,2.04,1.71,0.99,19,0
"In-Market > Retail > Automotive Parts & Accessories > Wheels, Tires & Parts",bluekai,2.03,1.71,3.15,1328,115000
purchase intent > cell phones > extreme,DataAlliance,2.03,1.71,4.9,648,0
hong kong > business,lotame,2.03,1.71,1.23,239,0
Travel > Travel - Hotels/Motels > Travel - Hotels/Motels - Light Credit/Debit Buyer,exelate,2.03,1.71,5.17,98,0
In-Market > Travel > Air Travel  > Departure Locations > United States > California > Los Angeles - Los Angeles Intl (LAX),bluekai,2.03,1.71,1.51,71,710800
Predictors > Retail > Sports Equipment & Outdoor Gear,bluekai,2.03,1.71,2.79,26,29918200
Audience - Interests > Food & Drink > Confident,DataAlliance,2.02,1.7,3.1,560,0
Global > B2B Predictive Signals > Human Resources,eyeota,2.02,1.7,5.98,512,0
US > Premium > Telecommunications,addthis,2.02,1.7,4.73,361,0
Intent > Propensity > Propensity - Personal Tech > Propensity - Personal Tech - Mobile - iPhone,exelate,2.02,1.7,3.03,332,1
Interest > Education > Graduate School,bluekai,2.02,1.7,2.87,273,5870200
Interest > Finance > Finance - Medium Business,exelate,2.02,1.7,4.02,269,1
Audience - Interests > Games & Toys > Confident,DataAlliance,2.02,1.7,4.63,264,0
US > Premium > Financial > Banking,addthis,2.01,1.7,2.78,2114,0
Intent > Auto - Buyers > Car Categories > Luxury,eyeota,2.01,1.7,3.37,32,0
US > Premium > Financial >  Financial Enthusiasts >  Financial Enthusiasts,addthis,2,1.69,2.04,588,0
Branded Data > Lotame > Food & Restaurants,bluekai,2,1.69,4.97,215,91527600
Interest > Events > Events - Wedding and Engagement,exelate,2,1.69,3.78,73,1
interests > nature & environment > extreme,DataAlliance,2,1.69,1.98,19,0
Finance > Home Ownership > Home Mover,visualdna,1.99,1.69,3,174,0
Retail > Retail - Apparel > Retail - Apparel - Banana Republic > Retail - Apparel - Banana Republic - All Credit/Debit Buyers,exelate,1.99,1.69,2.35,114,0
purchase intent > home & garden > interior design > strong affinity,DataAlliance,1.98,1.68,2.18,232,0
Branded Data > Clearspring > Telecommunications > Mobile & Wireless > Phone Intenders,bluekai,1.98,1.68,5.53,188,297000
Technology & Computing > Local Telephone Service > Business: AT&T/Bellsouth,targus,1.98,1.68,4.22,123,0
US > Premium > Career and Work >  Work >  Career,addthis,1.98,1.68,2.3,89,0
purchase intent > autos > pre-owned > affinity,DataAlliance,1.98,1.68,3.8,37,0
Interest > Autos,bluekai,1.97,1.68,3.1,1454,519808000
Custom Categories > Coupon Enthusiasts,bluekai,1.97,1.68,3.85,244,29246800
Business to Business (B2B) > Seniority > Executives,lotame,1.96,1.67,5.3,1090,0
US > finance > investing,sharethis,1.96,1.67,5.24,539,0
Entertainment & Lifestyle > Video Game > Role Playing Games,visualdna,1.96,1.67,3.49,206,0
interests > video games > shooting games > extreme,DataAlliance,1.96,1.67,4.08,120,0
Branded Data > US StatSocial > US StatSocial - Legendary Entertainment > Demographics > Gender > Female,eyeota,1.96,1.67,6.46,95,0
social media > commenters,lotame,1.96,1.67,3.59,70,0
Branded Data > VisaVue Audiences powered by DLX > Restaurant > Fine Dining: High Spenders,bluekai,1.96,1.67,2.41,47,10486720
demographic > age > 65 plus > confident,DataAlliance,1.95,1.67,3.71,825,0
Business > IT Professionals,lotame,1.95,1.67,2.39,602,0
Business to Business (B2B) > Company Size > Medium-Large (250-999),lotame,1.95,1.67,5.05,324,0
Branded Data > US Experian > Propensity Models > Hobbies and Interest > Casino Gambling,eyeota,1.94,1.66,4.58,408,0
"Branded Data > Lotame > Style, Fashion & Clothing",bluekai,1.94,1.66,5.03,324,122376400
Audience - Interests > News & Politics > Politics > Confident,DataAlliance,1.94,1.66,1.47,306,0
france > france home & family,lotame,1.94,1.66,1.15,131,0
International Audiences > LEN FRA > France Personal Finance,lotame,1.94,1.66,1.42,99,0
Polk Automotive > Owner Targeting > Owner Targeting: Classes > Mid-size Pickup Truck,bluekai,1.94,1.66,4.14,82,27678336
Nielsen > Auto > Compact > SUV > Subaru - XV Crosstrek,exelate,1.93,1.66,3.93,313,0
Web Browsing > Sports Sites > Visit Mlb.com in the Last 30 Days,targus,1.93,1.66,3.33,232,0
Business / B2B > Interest > Travel and Leisure,eyeota,1.93,1.66,1.97,108,0
AudiencePredictor > NetJets | 1dt170c > High Value User Lookalike > 10001,ttdeskpat,1.93,1.66,1.91,48,0
Influencers > Frequent Clickers > Top 10 Percent,DataAlliance,1.92,1.65,4.2,755,0
Lotame_OCR Optimized > Age > 21-34_M,lotame,1.92,1.65,9.74,146,0
US > Premium > Telecommunications > Mobile and Wireless > Phone Intenders,addthis,1.91,1.65,5.65,1705,0
Interest > Arts & Entertainment > Film & Television,bluekai,1.91,1.65,4.14,1124,370914000
Branded Data > Clearspring > In-Market > Education > Majors,bluekai,1.91,1.65,8.54,215,5268160
"Demographic > Income Level > ""Income Level - $30,000 to $39,999""",exelate,1.91,1.65,3.41,189,1
International Audiences > LEN UK > United Kingdom Frequent Travel,lotame,1.91,1.65,2.4,169,0
Brand > Airlines > BritishAirways,visualdna,1.91,1.65,1.11,78,0
Branded Data > Clearspring > Sports > Motor Sports > Motorcycles,bluekai,1.91,1.65,4.93,50,68000
Business / B2B > Interest > Industry and Manufacturing,eyeota,1.9,1.64,4.2,297,0
"In-Market > Retail > Shopping Predictors > Transaction Predictors > Retail > Clothing, Shoes & Accessories",bluekai,1.9,1.64,2.94,253,128947200
australia > real estate,lotame,1.9,1.64,3.71,150,0
Finance > Interest > Insurance > Health Insurance,visualdna,1.89,1.64,3.47,230,0
Custom Segment > TRP_InvestingGeneral_Reach_CustomKW,sharethis,1.89,1.64,6.71,171,0
Retail > Retail - Apparel > Retail - Apparel - Shoe Stores > Retail - Apparel - Shoe Stores - Payless > Retail - Apparel - Shoe Stores - Payless - Heavy Credit/Debit Buyer,exelate,1.89,1.64,1.43,58,0
Interest > Lifestyles > Parenting & Family > Babies & Toddlers,bluekai,1.88,1.63,5.52,395,2009200
Food & Drink > Food > Mexican,visualdna,1.88,1.63,3.63,74,0
Asia-Pacific > home & family,lotame,1.87,1.63,2.94,575,0
purchase intent > travel > extreme,DataAlliance,1.87,1.63,3.33,463,0
Demographics > Occupation > Health Services > Medical Doctor/Physician,bluekai,1.87,1.63,3.53,273,971200
france > france television,lotame,1.87,1.63,1.43,103,0
US > Premium > B2B > Business Data > Government Professional,addthis,1.87,1.63,4.07,84,0
US > Reach > Sports > Team Sports,addthis,1.87,1.63,1.69,70,0
Demographic > Housing Attributes > New Movers,bluekai,1.86,1.62,2.37,330,22067800
Audience - Interests > Home & Garden > Kitchen & Dining > Confident,DataAlliance,1.86,1.62,5.07,183,0
Audience - Interests > Education > Colleges & Universities > Confident,DataAlliance,1.86,1.62,2.25,152,0
US > Premium > Food >  Foods >  Cheese,addthis,1.86,1.62,1.76,73,0
Business to Business (B2B) > Functional Area > Finance,lotame,1.85,1.62,3.14,391,0
US > Premium > Sports > Outdoors > Camping,addthis,1.85,1.62,3.72,367,0
Nielsen > Auto > Compact > Premium > SUV > Acura - RDX,exelate,1.85,1.62,3.67,362,0
Branded Data > Transunion > Transunion Financial Credit Vision > Credit Card In Market Propensity > Most Likely in Market,bluekai,1.85,1.62,9.28,242,34577920
Technology & Computing > Mobile Phone Brand by Carrier > Use Mobile Device From Samsung with Carrier T-Mobile,targus,1.84,1.61,6,407,0
Interest  > Entertainment > News,eyeota,1.84,1.61,4.61,289,0
US > Premium > Food >  Drinks >  Soft Drinks and Sodas,addthis,1.84,1.61,6.17,226,0
Intent > Propensity > Propensity - Travel > Propensity - Travel - Resort - Four Star,exelate,1.84,1.61,3.26,102,1
Family Interests > Education/Teacher,alliant,1.84,1.61,2.53,66,0
US > Premium > Travel,addthis,1.83,1.6,8.49,491,0
Interest > Electronics & Computers > Software,bluekai,1.83,1.6,1.7,395,8927400
International Audiences > LEN FRA > France Art,lotame,1.83,1.6,1.24,208,0
US > Premium > Telecommunications > Communications Equipment,addthis,1.83,1.6,1.89,79,0
malaysia > business,lotame,1.82,1.6,1.13,149,0
Branded Data > Edmunds > Makes & Models > Mazda,bluekai,1.82,1.6,3.77,40,0
malaysia > fashion & beauty,lotame,1.8,1.59,1.53,57,0
Demographics > Relationship Status > Co-habiting,visualdna,1.8,1.59,1.07,11,0
US > Premium > Auto > General > Auto Enthusiasts,addthis,1.79,1.58,5.42,494,0
US > Premium > Telecommunications > VOIP and Internet Telephone,addthis,1.79,1.58,1.67,341,0
"Audience - Interests > Arts, Entertainment, & Events > Comedy Shows > Extreme Confidence",DataAlliance,1.79,1.58,4.83,259,0
malaysia > computers and technology,lotame,1.79,1.58,0.98,131,0
Home & Family > Home Decorating,lotame,1.79,1.58,2.13,103,0
Brand > Supermarket > Whole Foods,visualdna,1.79,1.58,2.5,40,0
Finance > Interest > Insurance > Auto Insurance,visualdna,1.78,1.58,1.51,106,0
Branded Data > Edmunds > Makes & Models > BMW > 5-Series,bluekai,1.77,1.57,5.84,380,0
Personal Care > Tampons > Tampax,targus,1.77,1.57,2.59,155,0
US > Reach > Telecommunications > Mobile and Wireless,addthis,1.77,1.57,4.65,151,0
comScore - Private > Affluent Credit Card Application Model > 1-2%,bluekai,1.77,1.57,9.22,100,9583200
Personal Finance > Investments - Type of > Mutual Funds Value $100000+,targus,1.76,1.57,7.83,257,0
US > Premium > Telecommunications > Mobile and Wireless > Android Phones,addthis,1.75,1.56,5.95,1207,0
Hispanic > LLN US > US Hispanics Television,lotame,1.75,1.56,6.07,1069,0
Intent > Shopping > Shopping - CPG > Shopping - CPG - Pet Supplies > Shopping - CPG - Pet Supplies - Dog,exelate,1.75,1.56,5.21,629,1
Geographic - Metro Targeting > Metro Area - New York,alliant,1.74,1.55,7.43,1310,0
Finance > Interest > Credit Card,visualdna,1.74,1.55,8.35,230,0
Brand > Streamed Media > Spotify,visualdna,1.74,1.55,2.63,116,0
US > Premium > Travel > Hotel Enthusiast > Hotel Enthusiast,addthis,1.74,1.55,2.61,87,0
Audience - Interests > News & Politics > High Confidence,DataAlliance,1.73,1.55,3.69,1085,0
Audience - Interests > Food & Drink > High Confidence,DataAlliance,1.73,1.55,3.56,297,0
In-Market > Travel > Air Travel  > Days of Departure > Thursday,bluekai,1.73,1.55,3.28,145,2618000
france > france health & fitness,lotame,1.73,1.55,1.42,111,0
In-Market > Education,bluekai,1.72,1.54,3.46,928,21084800
Business to Business (B2B) > Company Size > Medium (50-249),lotame,1.72,1.54,4.7,631,0
Intent > Propensity > Propensity - Travel > Propensity - Travel - Theme Park,exelate,1.72,1.54,4.21,563,1
In-Market > Education > Disciplines > Arts & Humanities,bluekai,1.72,1.54,1.82,61,864000
US > Premium > Education > Degrees,addthis,1.71,1.54,2.26,241,0
Retail > Retail - Department Stores > Retail - Department Stores - Sears > Retail - Department Stores - Sears - Heavy Credit/Debit Buyer,exelate,1.71,1.54,4.03,45,0
Interest > Education > Private Schools,bluekai,1.7,1.53,4.37,198,281000
AU IPSOS > Emma > High Range > Retail > Department Store Bought From In Last 3 Months > David Jones,eyeota,1.7,1.53,2.97,101,0
B2BX > Industry > Advertising,exelate,1.69,1.52,8.01,91,0
Interest > Auto - Owners > Auto - Owners - Purchased Vehicle 4-5 years ago,exelate,1.69,1.52,2.67,76,1
Interest > Food & Drink > Cooking > Gourmet,bluekai,1.68,1.52,6.02,1927,43629800
Nielsen > Auto > Compact > Premium > SUV > BMW - X1,exelate,1.68,1.52,3.54,324,0
Branded Data > Neustar AdAdvisor > Demographics > Head of Household > Female Head of Household,bluekai,1.68,1.52,3.33,190,23570000
Automobiles > Models > Hyundai Accent,lotame,1.68,1.52,3.23,184,0
france > france art & culture,lotame,1.68,1.52,1.1,113,0
In-Market > Retail > Home & Garden > Home Improvement > Maintenance,bluekai,1.68,1.52,3.94,68,1775000
Asia-Pacific > social media,lotame,1.67,1.51,3.89,603,0
"IXI - Private > Network Products > WealthComplete Total Investible Assets > Asset Range $2,000,000 - $2,999,999",bluekai,1.67,1.51,4.84,307,4780200
International Audiences > LEN ESP > Spain Home Improvement,lotame,1.67,1.51,2.36,136,0
Past Purchases > Autos > Makes > RAM,bluekai,1.67,1.51,1.89,65,0
Demographic > Optimized > Male 40-44 > Extreme Confidence,DataAlliance,1.67,1.51,1.61,37,0
Demographic > Lifestyle  > High Net Worth Individual / HNWI,eyeota,1.66,1.51,4.44,386,0
Interest  > Entertainment > Gossip and Celebrities,eyeota,1.66,1.51,3.93,91,0
Branded Data > Lotame > Entertainment > Sports & Recreation > Basketball,bluekai,1.66,1.51,4.55,53,14575400
In-Market > Autos > Makes & Models > Audi,bluekai,1.65,1.5,7.21,1851,466400
Home & Family > School & Education,lotame,1.65,1.5,2.68,531,0
brazil > online games,lotame,1.65,1.5,0.81,368,0
UK > Reach > Lifestyles,addthis,1.65,1.5,5.17,180,0
france > france automobiles,lotame,1.65,1.5,1.42,116,0
US > Premium > Financial >  Insurance >  Insurance Intenders,addthis,1.64,1.49,2.53,563,0
