data.fullpath,data.thirdpartydataproviderid,data.Relevance,data.BidFactor,data.eCPM,data.eSpend,data.audiencesize
Finance > Interest > Insurance > House Insurance,visualdna,32.32,4.48,1.69,8,0
Brand > Printed Media > The Evening Standard,visualdna,32.3,4.48,1.52,5,0
Retail > Retail - Supermarkets > Retail - Supermarkets - Trader Joes > Retail - Supermarkets - Trader Joes - All Credit/Debit Buyers,exelate,32.13,4.47,1.31,6,0
Branded Data > Clearspring > Health,bluekai,32.11,4.47,3.11,62,15511400
Audience - Interests > Business > Aerospace & Defense > High Confidence,DataAlliance,31.54,4.45,5.01,15,0
Business / B2B > Professions > Small Business Professionals,eyeota,31.4,4.45,5.01,84,0
Product Potential > Financial > Own 529 College Savings,targus,31.4,4.45,3.65,42,0
Audience - Interests > Finance > Finance > Confident,DataAlliance,31.11,4.44,3.91,115,0
Audience - Interests > Finance > Investment & Saving > High Confidence,DataAlliance,31.06,4.44,3.33,99,0
B2B Demo > Industry > Telecommunications,bluekai,30.8,4.43,9.21,63,21616200
International Segments > Asia Pacific > Australia > Retirement Planning,lotame,30.6,4.42,1.92,23,0
Past Purchases > Travel > Air Travel > International Flights,bluekai,30.35,4.41,2.97,10,0
Audience - Purchase Intent > Classifieds > Confident,DataAlliance,30.24,4.41,3.85,24,0
Business to Business (B2B) > Industry > Transportation/Travel,lotame,30.12,4.41,5.17,17,0
International Segments > Asia Pacific > Singapore > Personal Finance,lotame,30.09,4.4,2.07,16,0
Business to Business (B2B) > Industry > Healthcare,lotame,29.97,4.4,3.14,16,0
purchase intent > computers > affinity,DataAlliance,29.66,4.39,1.58,12,0
Location > Geographic Region > Oceania,visualdna,29.49,4.38,10.92,85,0
Entertainment & Lifestyle > Video Game > First Person Shooters,visualdna,29.21,4.37,13.6,45,0
In-Market > Retail > Shopping Predictors > Transaction Predictors > Consumer Packaged Goods (CPG) > Health & Beauty > Health > Dietary Supplements & Nutrition,bluekai,28.92,4.36,4.22,39,8970200
Audience - Interests > Finance > Banking > Confident,DataAlliance,28.65,4.36,3.19,47,0
Branded Data > Neustar AdAdvisor > Entertainment/Leisure > Yoga,bluekai,28.4,4.35,4.37,18,37871600
Global > B2B Predictive Signals > Technology > Databases and Storage,eyeota,27.94,4.33,1.17,19,0
Brand > Fast Food > Chipotle,visualdna,27.49,4.31,4.19,78,0
Branded Data > Lotame > Travel > Frequent Travel,bluekai,27.36,4.31,16.77,82,0
Nielsen Buyer Insights > Furniture Stores > Ikea - Light Buyers,exelate,27.18,4.3,1.64,12,0
Audience - Interests > Travel > Travel Agencies & Services > Extreme Confidence,DataAlliance,27.16,4.3,3.98,27,0
Products & Services Propensities > Online Investment / Trading - Propensity ,alliant,27.1,4.3,3.12,24,0
Branded Data > US Experian > Sociodemographic > Education Level > Bachelors Degree,eyeota,27.02,4.3,4.75,71,0
International Segments > Asia Pacific > Singapore > Business > Finance Professionals,lotame,26.88,4.29,3.13,16,0
Germany > Reach > In-Market > Financial > Personal Finance > College Preparation,addthis,26.86,4.29,1.32,4,0
Demographics > Employment > Employed > Executive,visualdna,26.81,4.29,4.27,14,0
Branded Data > Audiences by Ziff Davis > Technology > Software > Security Software,bluekai,26.73,4.29,2.99,15,993280
singapore > home & family,lotame,26.69,4.28,2.02,81,0
US > Reach > Sports > Individual Sports,addthis,26.53,4.28,3.05,21,0
"Demographic > Career > ""Career - Merchandising, Purchasing and Retail""",exelate,26.15,4.26,1.86,7,1
Branded Data > Lotame > Travel,bluekai,26.07,4.26,13.55,1109,83579200
Global > B2B Demo > Professional Groups > Small Business Professional,eyeota,25.97,4.26,5.55,113,0
US > Premium > Retail > Shopping > Luxury Accessory Brands,addthis,25.65,4.24,3.13,14,0
ownership > cell phones > ios > strong affinity,DataAlliance,25.64,4.24,1.96,26,0
Branded Data > Neustar AdAdvisor > Shopping > Grocery Stores > Super Target,bluekai,25.62,4.24,5.71,19,32421000
Global > B2B Demo > Industry > Telecommunications,eyeota,25.6,4.24,8.95,192,0
Restaurants > Restaurants - Casual > Restaurants - Casual - Dennys > Restaurants - Casual - Dennys - Heavy Credit/Debit Buyer,exelate,25.57,4.24,1.78,20,0
US > Premium > Gaming >  Platforms >  Playstation,addthis,25.31,4.23,20.1,168,0
Germany > Reach > In-Market > Financial > Personal Finance > Small Business,addthis,25.22,4.23,1.33,8,0
Audience - Interests > Business > Construction Industry > Confident,DataAlliance,25.01,4.22,2.53,52,0
Channel Planning > Stores > Shop Target 3+ Times Last 4 Wk,targus,25,4.22,6.01,23,0
US > Premium > Seasonal and Holiday > Valentines Day,addthis,24.65,4.2,6.88,89,0
Branded Data > Clearspring > Education > Degrees > Bachelors,bluekai,24.1,4.18,4.08,46,8400
Branded Data > Lotame > Automobiles > Makes and Models > Volkswagen > Touareg,bluekai,24.09,4.18,5.07,16,4928000
Demographic > Employment Industry > Manufacturing and Industrial,eyeota,24.07,4.18,3.07,18,0
"Demographic > Lifestyle > ""Lifestyle - Net Worth: $750,000 to $999,999""",exelate,24,4.18,2.29,27,1
Audience - Interests > Fitness & Exercise > High Confidence,DataAlliance,23.98,4.18,7.25,209,0
Audience - Interests > Job Search & Career > Extreme Confidence,DataAlliance,23.85,4.17,4.49,45,0
Global > B2B Predictive Signals > Finance > Personal Finance,eyeota,23.82,4.17,4.45,101,0
Global > B2B Predictive Signals > Business > Budgeting Planning and Strategy,eyeota,23.45,4.15,5.08,19,0
International Audiences > LEN UK > United Kingdom Business > IT Professionals,lotame,23.33,4.15,3.02,139,0
Branded Data > SG Experian > Mosaic > Type > A03 Expat Living,eyeota,23.28,4.15,2.55,8,0
Audience - Interests > Job Search & Career > High Confidence,DataAlliance,23.14,4.14,3.62,50,0
Interest > Sports > Winter Sports > Snowboarding,bluekai,23.09,4.14,1.94,45,230200
Germany > Reach > Technology,addthis,23.02,4.14,1.29,8,0
purchase intent > computers > computer programming > strong affinity,DataAlliance,22.87,4.13,2.25,9,0
Audience - Purchase Intent > Consumer Reviews & Resources > High Confidence,DataAlliance,22.81,4.13,3.56,123,0
In-Market > Travel > Hotels & Lodging  > Locations > International > Europe > United Kingdom,bluekai,22.75,4.12,4.58,37,361400
Branded Data > Edmunds > Makes & Models > Genesis > G80,bluekai,22.71,4.12,4.18,18,640
Location > Country > Australia,visualdna,22.68,4.12,13.16,84,0
Nielsen TV > Dayparts > Late Night TV - Light Viewers,exelate,22.61,4.12,3.01,14,0
Global > B2B Demo > Professional Groups > Marketing Professional,eyeota,22.33,4.11,4.19,153,0
Intent > Travel > Travel - Destination > Travel - Destination - North America > Travel - Destination - North America - US > Travel - Destination - North America - US - California,exelate,22.29,4.1,1.7,46,1
Audience - Interests > Job Search & Career > Confident,DataAlliance,22.27,4.1,2.65,127,0
Branded Data > Clearspring > Food,bluekai,22.23,4.1,2.34,19,21149600
