tdid,score
0bfedb06-18b4-4757-aeac-4347a4bbd6ac,58.0492470492
0c682dcb-cbb3-4b13-a71c-efdcefcc8c07,58.0492470492
0c6f2320-c404-4480-9dba-df9709246a1e,58.0492470492
0cb119ec-a4bb-4986-9d07-746e5419decc,58.0492470492
0d08a485-7319-466a-beaa-4805315234eb,58.0492470492
0d4844f1-0301-4e6f-b4d6-dc4064f6f1d4,58.0492470492
0d956bad-ba67-4647-89b2-1c373e4f1134,58.0492470492
0d96eb02-7491-4511-98a7-19e7e8d3e1aa,58.0492470492
0d9e80d1-b66a-46b3-a6f1-772cb1b7639f,58.0492470492
0dcdb23e-226f-49ba-9bf4-d5975dd4aae4,58.0492470492
0dd9b58e-ca53-4354-bba5-373fc34cdb3e,58.0492470492
0e3b5b09-6fd3-400b-8cde-5622de39969d,58.0492470492
0e4251c0-4f44-4093-81bb-2ed53e5e4d29,58.0492470492
0edad5e5-ada4-47c0-9bfc-0e2b0cff9a65,58.0492470492
0f47f853-4964-488f-89c7-ef61ebed4986,58.0492470492
0f64530d-ff28-484f-bc91-9c84f6a94249,58.0492470492
0fddbcfb-04f9-4939-8612-b3aa2d79bd58,58.0492470492
1114fc8b-b556-4d04-8564-74704bae5999,58.0492470492
111e3b9a-3ad1-4859-afff-af6737e01198,58.0492470492
117a7e04-5ed9-4d88-b300-7c665489b38d,58.0492470492
118f5faa-7752-466e-bcf0-241f38490dfa,58.0492470492
11cdd8d5-366a-4c1f-bf3c-0f125c9e2990,58.0492470492
11d071f2-6524-4255-b54a-6abe10e9bac9,58.0492470492
12022c47-4836-4a24-8f4e-639270244b19,58.0492470492
12867de4-9e04-46da-b28d-688135bb32fa,58.0492470492
13214ba7-d385-4346-9b85-4c7fd0076119,58.0492470492
132871a6-6bdf-43e8-819c-eef80f3e28db,58.0492470492
135fc8f2-1d98-44f2-8962-3ff4347e902e,58.0492470492
13fc0dfc-d607-463f-ae5c-de0dd299f2c5,58.0492470492
14021410-4f48-4c2b-b4d6-bfa43cfe06fe,58.0492470492
140b4cc4-4dd6-4d7a-974f-3cea4826be91,58.0492470492
146563b6-cc86-421f-93e4-4325a1248dfa,58.0492470492
155e11f9-7ce5-4095-a4e2-f7ce243dc3bd,58.0492470492
1563950d-a8bd-4fe5-bcc0-fce0110de92a,58.0492470492
159c462c-4f56-4d0a-ba50-ad7f8dd8e004,58.0492470492
1635c417-98bc-44a1-8d29-aa15fb707264,58.0492470492
166f4072-7d2a-472c-ac37-80d260a6cf65,58.0492470492
16cad757-36d6-4e0d-b2cd-cbd998505ce5,58.0492470492
16e4d2dc-49f5-487a-9c51-a7c2767f5115,58.0492470492
16e74ccd-bd6b-4ded-809e-aeb7d2ba6397,58.0492470492
17049dc9-ccee-4aae-901d-f2f6fffb44b3,58.0492470492
17851bb0-4e69-468d-b452-2930b8f459a0,58.0492470492
17d8c7b0-a89d-46b3-86ba-c8823e71118b,58.0492470492
17da23a8-c111-4f4a-a831-d880c7f4b26b,58.0492470492
17f871b0-d269-41d0-8d10-2ac5d86303e1,58.0492470492
180afe8e-6194-477f-ab5a-31d6f757553b,58.0492470492
184959e1-3e77-404c-a0c2-78ea94abe3e8,58.0492470492
18ca0c38-99a5-4875-b48f-b55ebd82bea5,58.0492470492
19484f44-e646-4e91-ac3f-6dfbcfdcfdba,58.0492470492
196c3813-f48c-4a3c-865a-ddaac27eb297,58.0492470492
19947536-7693-4c97-87a3-ea7559ebe9b5,58.0492470492
19a2a1df-9b1e-4292-aa92-9063792e5ebb,58.0492470492
19b72450-9134-4ad6-93ec-cf21fb459ed8,58.0492470492
19e4e1d3-36c6-48aa-8bd4-e10fdefabeac,58.0492470492
1a0851aa-96a4-4ff1-ba8f-33e75aff044a,58.0492470492
1a59e861-d5dc-4bea-91cc-9cf49c68cc91,58.0492470492
1abf217e-0d4d-4438-bd04-a03cf73f5be9,58.0492470492
1acac25b-3d0b-4c08-b4af-63b0a517d334,58.0492470492
1ae90d48-bb84-48d8-a4b6-38f4b7763900,58.0492470492
1aec3e41-a011-4f0e-94b0-8e75dc7b9237,58.0492470492
1bba06dc-7d38-453f-9ad2-c348ee3db656,58.0492470492
