tdid,score
550763c6-2cbe-4e97-bc90-156e185cd83a,-0.02122838727846954
4add346f-5cd9-472c-a286-46885c435c2f,-0.02244490630710061
b1b156d4-ac1e-4075-a52a-d4e0800788c2,-0.02264763454905605
2b0d170a-3ac0-4657-85f6-353d66943253,-0.022659606239766816
d464a9af-fd24-4d9e-a0cf-4e5b1f435b0c,-0.022659606239766816
f0a0da7e-be57-4b43-b5bb-3f91e1271ca7,-0.022659606239766816
194aee5e-3c9e-46a1-bf37-81377e644c1d,-0.023896539069031775
8258a644-f19d-41b6-95c6-fb15dc831de9,-0.0239058114922166
654f4e12-2feb-47ed-bddd-e701441ec34b,-0.025007338244293464
690d061b-ba22-4985-abcb-f580f75f4073,-0.025854990297084157
4d68d588-0d15-4a41-8461-e47310040f12,-0.025854990297084157
0f84fe29-3d6a-4db1-89df-f14d0191d56c,-0.025854990297084157
d3b29242-23f8-49d8-ad8c-4e80a0313249,-0.02586893049459249
8eb92c94-fcfe-4342-a298-c77b452597a7,-0.02586893049459249
dcadf3a1-7618-4402-a268-fbe4524f6ee5,-0.02586893049459249
cb3597eb-b2e0-444f-bbdb-a2faee9cd5e4,-0.02586893049459249
e5d06517-236f-4f8b-8b0b-24563b5c7782,-0.026167301440715107
39dead52-5c25-4806-bf79-e9dbc7616920,-0.026622502476126186
ae2aebd5-c3c6-4bad-8dcb-4dc2002a8505,-0.026622502476126186
d4d5fd36-482f-47e8-835e-503bc51d553c,-0.026622502476126186
a3903aaf-b250-4634-8798-2d1df907a529,-0.026622502476126186
4cb2b336-1cd0-477f-9f60-5d7444db4e95,-0.026622502476126186
0fce280d-90a4-42d2-93bd-fd39d9c6e32b,-0.026622502476126186
e7562c0f-7d32-4ebc-b21d-b02548bdb9dc,-0.02693967358725402
f498f9ff-a8c4-4dc7-a044-d2c0ce404894,-0.027280702436847548
79b0d367-dfce-42b1-a99e-40147f5f0cc0,-0.02757139618891813
dbb1e139-a763-4f62-b1ef-56d767c7423b,-0.02772845000261981
1ff08cec-f929-4a7e-bc17-cea9dac2492d,-0.02829973657337348
a5c5b08d-7090-4283-8b67-bf6e63b55389,-0.02868818711548471
d1168e86-f76f-4ac2-a1e7-ee732f99635c,-0.02868818711548471
fcaa3318-7700-49e3-9100-5ffe263ec59f,-0.02868818711548471
85218df7-b31d-4709-8903-aacdfc2d398e,-0.029040577479907626
04122d10-e03f-4946-b614-c15701463f16,-0.030906629004920916
0c78452c-9f54-45d3-a954-f3fbf221d170,-0.030906629004920916
4b6b1333-9fd8-42c8-9164-bf921938a54a,-0.030988705243128578
60e87090-3e5a-4939-a824-27e65db23a4f,-0.031700910712238795
c3694855-3be9-427b-865d-56f9b47af9c4,-0.03221585897071577
2440dbad-790f-4512-bbaf-56ba58566cb9,-0.03221585897071577
1581c6c0-e4f9-45a5-a3e2-536ffa07de52,-0.032336282533520944
85ce500c-b3fa-44fb-bacf-9badbdbfe615,-0.03318330004732317
